path,device,source,license,split,sha256
audio/airport-helsinki-204-6138-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,db356757394c3ed66d87990ed98a080b1a1a1778aaaffe110b723c9fbd294814
audio/airport-helsinki-204-6142-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,c865877e82695faf7f9e2ac85b2a956ceb8b2a510dcec3b3e59e9d7ea4bd9c40
audio/airport-helsinki-204-6143-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,08e9ca2fbb29946ccf3b2200574f953068696817d5f3f7ce10b3a2ce19e68d6c
audio/airport-helsinki-204-6164-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,e4e5f2b1b583c177996ecb7846c42594ddca236d8069d908944097bc342990b3
audio/airport-helsinki-3-112-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,8b999ac760b8c2b93f95684320b0a94cf71bc539a771f66081043757b8001940
audio/airport-helsinki-3-113-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,1244b3c8bcef3ee0a79022ca394bfee894ffb10ebddf5d70bc84c64e73974554
audio/airport-helsinki-3-116-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,6c590fc31be9cb7ae513dfa313332a149d10045ba85487d4f5b9b929151d3197
audio/airport-helsinki-3-117-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,3d2c98ab609ce6c770059ea176b4fbebc9ef8ca7d9922b826844cd28a961be8b
audio/airport-helsinki-3-124-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,502f4142f1e1904b02be4c72fcce6c25cad9675dc5defdf56346b64a09690a7f
audio/airport-helsinki-3-127-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,61b07d8198a600a231a318eb69cce25dd2cf007547d9155f3be9f0378dc014c7
audio/airport-helsinki-3-135-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,1acd10a338aa04b41bd89ec705bd9e22c6464b35a58534758eaceff8bed810ab
audio/airport-helsinki-3-154-a.wav,audio,TAU Urban Acoustic Scenes 2019 Mobile,CC-BY 4.0,train,f783dfa2585d0eb782f8b80bac2af144a733a0905c990ca62ba7686f07ec80c6
